x,y
-40.678,2.653
2006.78,2.735
2955.932,3.02
3959.322,3.592
4474.576,3.429
4962.712,4.245
5477.966,4.49
5938.983,4.816
6481.356,5.469
6942.373,5.347
7986.441,7.02
