x,y
-40.678,4.898
2006.78,5.02
2955.932,5.918
3932.203,6.367
4447.458,6.327
4989.831,7.061
5477.966,7.388
5993.22,7.714
6481.356,8.163
6969.492,7.469
7932.203,9.143
