f0,f1,f2,f3,v
-1.1499999999999997,-0.788177167950654,-0.5111111111111113,-0.24210526315789446,0.0
-1.0633165829145725,-0.728766828657891,-0.47258514796203255,-0.2238561227188572,0.1
-0.9887850467289718,-0.6776850416024315,-0.43946002076843216,-0.2081652729955728,0.2
-0.9240174672489081,-0.6332951917158093,-0.41067442988840386,-0.1945299931050331,0.30000000000000004
-0.8672131147540982,-0.5943631102578703,-0.38542805100182165,-0.18257118205349418,0.4
-0.8169884169884168,-0.5599405363047116,-0.36310596310596327,-0.17199756147124548,0.5
-0.7722627737226275,-0.5292868573099282,-0.3432278994322791,-0.16258163657318458,0.6000000000000001
-0.7321799307958475,-0.5018152211173713,-0.32541330257593243,-0.15414314332544143,0.7000000000000001
-0.6960526315789473,-0.4770546016543432,-0.309356725146199,-0.1465373961218835,0.8
-0.663322884012539,-0.4546225670937941,-0.29481017067223975,-0.13964692295000808,0.9
-0.6335329341317364,-0.4342053859368872,-0.28157019294743857,-0.13337535455404964,1.0
-0.6063037249283666,-0.4155432633321499,-0.2694683221903853,-0.1276428894586034,1.1
-0.5813186813186811,-0.39841922775527555,-0.25836385836385845,-0.12238288027761697,1.2000000000000002
-0.5583113456464379,-0.38265065673593757,-0.24813837584286144,-0.11753923066240787,1.3
-0.5370558375634515,-0.36808273833228505,-0.23869148336153417,-0.11306438685546338,1.4000000000000001
-0.5173594132029339,-0.35458337140078316,-0.22993751697908185,-0.10891777120061755,1.5
-0.4990566037735848,-0.3420391483559441,-0.22180293501048226,-0.10506454816285986,1.6
-0.4820045558086559,-0.330352161510069,-0.2142242470260694,-0.10147464332813799,1.7000000000000002
-0.46607929515418495,-0.31943744251744566,-0.2071463534018601,-0.09812195687456515,1.8
-0.45117270788912567,-0.30922089318319895,-0.2005212035062782,-0.09498372797665794,1.9000000000000001
-0.437190082644628,-0.2996376010390916,-0.19430670339761255,-0.09204001739886897,2.0
-0.42404809619238465,-0.2906304587232872,-0.18846582052994884,-0.089273283408923,2.1
-0.41167315175097263,-0.2821490251029578,-0.1829658452226546,-0.08666803194757311,2.2
-0.39999999999999986,-0.27414858015674914,-0.17777777777777784,-0.08421052631578936,2.3000000000000003
-0.388970588235294,-0.2665893362186035,-0.1728758169934641,-0.08188854489164075,2.4000000000000004
-0.37853309481216446,-0.2594357762127376,-0.16823693102762877,-0.07969117785519245,2.5
-0.3686411149825783,-0.25265609564968694,-0.1638404955478127,-0.07760865578580588,2.6
-0.35925297113752114,-0.24622172988611257,-0.1596679871722317,-0.07563220445000438,2.7
-0.35033112582781445,-0.24010695182602698,-0.15570272259013984,-0.07375392122690823,2.8000000000000003
-0.3418416801292406,-0.23428852811457238,-0.1519296356129959,-0.07196666950089269,2.9000000000000004
-0.33375394321766555,-0.2287454241370983,-0.1483350858745181,-0.07026398804582426,3.0
-0.3260400616332819,-0.22345854992745814,-0.1449066940592365,-0.06864001297542771,3.1
-0.3186746987951806,-0.21841054051644626,-0.14163319946452482,-0.06708941027266954,3.2
-0.31163475699558163,-0.2135855653945807,-0.1385043364424808,-0.06560731726222764,3.3000000000000003
-0.3048991354466858,-0.2089691626843232,-0.13551072686519375,-0.06418929167298641,3.4000000000000004
-0.2984485190409026,-0.20454809436236998,-0.13264378624040124,-0.06283126716650575,3.5
-0.2922651933701657,-0.20031021947917171,-0.1298956414978515,-0.06152951439371904,3.6
-0.28633288227334225,-0.19624438281856604,-0.1272590587881522,-0.06028060679438779,3.7
-0.2806366047745357,-0.1923403168473744,-0.12472737989979372,-0.05908139047884956,3.8000000000000003
-0.2751625487646293,-0.1885885551403385,-0.12229446611761309,-0.057928957634658745,3.9000000000000004
-0.2698979591836734,-0.1849803557435208,-0.11995464852607714,-0.05682062298603645,4.0
-0.264831038798498,-0.181507633170113,-0.11770268391044364,-0.0557539029049469,4.1000000000000005
